location,place,state,location_rating,age,season,types_of_travel,religion,itemId,travel_type_any,travel_type_family,travel_type_friends,travel_type_solo,religion_any,religion_buddist,religion_christian,religion_hindus,religion_jain,religion_muslim,religion_sikhs,season_any,season_autumn,season_rainy,season_spring,season_summer,season_winter,Category
Bhoramdeo Temple,"Chaura village, Kawardha town", chhattisgarh,4,0,winter,family,hindus,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
  maitri bagh,"Near to Maroda, Bhilai",chhattisgarh,4,20,any,friends,any,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Wildlife
Tirathgarh Falls,Bastar district,chhattisgarh,4.6,25,rainy,friends,any,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Waterfalls
Sirpur Heritage Site,bank of holy Mahanadi river,chhattisgarh,5,0,winter,family,hindus,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
Rajeev Smriti Van,Raipur,chhattisgarh,3.9,0,any,solo,any,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0, Park
Palolem Beach,Canacona,Goa,5,22,spring,friends,any,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Water
Calangute beach,North Goaalangute beach,Goa,4.4,0,rainy,friends,any,7,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Water
Fort Aguada,Candolim,Goa,4.2,0,rainy,any,any,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Historic
Chapora Fort,Vagato,Goa,4.3,35,rainy,family,any,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Historic
Basilica de Bom Jesus,Bainguinim,Goa,4.5,0,summer,family,christian,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Pilgrimage
dudhsagar-falls,�Mandovi River�,Goa,4.6,18,winter,friends,any,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Waterfalls
Reis Magos Fort Arpora Night Market,Arpora,Goa,4.2,0,any,family,any,12,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Water
Deltin Royale Casino,Panaji,Goa,4.3,20,autumn,friends,any,13,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Water
Naval Aviation Museum,Vasco da Gama,Goa,4.5,24,spring,friends,any,14,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Museum
Champaner-Pavagadh Archaeological Park,�Panchmahal,Gujarat,4.4,0,any,any,any,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Park
Konark Sun Temple,Konark,Gujarat,4.6,0,spring,family,hindus,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Pilgrimage
Polo Forest,Gujarat,Gujarat,4.3,15,rainy,friends,any,18,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Park
Dwarka,Gujarat,Gujarat,4.2,0,winter,family,hindus,19,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Pilgrimage
